Channel Type,Count
PS,3090922
MP,3023277
PF,2257956
ECRH,1710738
TCN,1305008
Mirnov,1157380
AXUV,1128896
DIV,1063170
TS,1056096
G,734683
HXR,730800
TF,646179
FLUX,561471
HA,530131
CS,423728
SXR,399976
TEST,389730
PF_TEST,378336
TRIGP,378272
ECE,378016
EP,378016
LD,360327
IS,330680
DP,302656
ST,283440
SDDINTEN,259820
SDDTE,259820
EUV,236260
VUV,236200
VB,235244
IPF,213410
BOLO,188992
COIL,188992
PCR,188944
I_PF,164878
IPS,160542
VLIM,141720
TF_T_CPL,141720
TF_T_CPU,141720
TF_T_ESSU,141720
TF_T_LSSL,141720
TF_T_LSSU,141720
TF_T_USSL,141720
TF_T_USSU,141720
TF_T_ZCL,141720
M,139032
VIS,129910
TF_T_ESSL,129910
TI,120930
DIA,118130
HE,118130
CCD,118103
CCI,118103
CCJ,118103
CCK,118103
CCU,118103
STR,118100
TSA,118100
VT,118100
IMP,118090
CCS,117770
GAS_OUT,89776
IGC,87926
TEMP,82670
IP,81452
I_TF,72550
CCE,70884
MCV,70860
SSI_NE,70860
HCN_NE,70556
B,70254
CSG,68088
PFG,68088
TFG,68064
FTF,64727
VS_IPF,62502
HALO,61616
HAS,59065
PW,59050
BETAP,53042
F,47570
LC,47296
ICRF_PIN,47240
ICRF_POUT,47240
IPOUT,47240
ITF_,47240
PHIDIA,47240
WDIA,47240
TF_T_CSC,47240
GAS_PRES,41120
RF,39104
CIII_IM_,35439
GAS_CTRL,35439
HEII_IM_,35439
OII_IM_,35430
H,35430
TF_T_LWA,35430
TF_T_LWB,35430
LOOPV,34754
MN,30840
MPT,28680
FS_ITF,26028
FP,24227
ITF,23657
HA_MID_,23626
VPS,23622
ICRF,23620
ICRF_S_GI,23620
ICRF_S_GR,23620
ICRF_S_I,23620
ICRF_S_PHI,23620
ICRF_S_PIN,23620
ICRF_S_PL,23620
ICRF_S_POUT,23620
ICRF_S_R,23620
ICRF_S_SWR,23620
ICRF_S_U,23620
ICRF_S_X,23620
MWI_NE,23620
MWP,23620
OMA,23620
RAW_MWI,23620
TFTOTAL,23620
UTF,23620
VPF,23620
TF_T_CPLW,23620
CCL,23591
CCV,23591
CCW,23591
VS_B,22728
ILIMIT,22468
VLOOP,22398
FS_IGCPF,21690
ICRF_SW_V,21224
MG,20844
MGDSUMU,19552
MGDV,19552
MGSETV,19552
MGSETW,19552
MGV,19552
RFA,19552
UK,19552
MPN,14340
A_V_,11824
B_V_,11824
C_V_,11824
LCZ_A,11824
LCZ_U,11824
LC_FES,11824
MG_ELS,11824
MZ_A_A,11824
MZ_B_A,11824
MZ_C_A,11824
CS_NTG,11823
CS_PTG,11823
CS_T_I,11823
CS_T_V,11823
TF_TG,11821
TF_T_I,11821
TF_T_V,11821
CCDH,11814
CCDN,11814
CCDP,11814
CCDT,11814
CCDV,11814
CCIP,11814
CCIT,11814
CCJH,11814
CCJN,11814
CCJP,11814
CCJT,11814
CCJV,11814
CCKH,11814
CCKN,11814
CCKP,11814
CCKT,11814
CCKV,11814
CCNE,11814
CCPH,11814
CCPV,11814
CCUT,11814
BII,11813
BIII,11813
BR,11813
BV,11813
CCS_ELONG,11813
CCS_LCFS,11813
CCS_MAJ,11813
CCS_MIN,11813
CCS_TRI,11813
CIII,11813
HEI,11813
HEII,11813
ITFPS,11810
ITF_PLC,11810
LHCD_IK,11810
LHCD_UK,11810
MAG_I,11810
MAG_V,11810
OII,11810
PIN_LHCD_,11810
PNBI,11810
POUT_LHCD_,11810
STRP,11810
TS_ENERGY,11810
TS_NE,11810
TS_NEPRO,11810
TS_NE_PRO,11810
TS_TE,11810
TS_TE_PRO,11810
VTF,11810
VTFPS,11810
XCS,11810
HE_TRI,11810
TF_TRI,11810
TF_T_LEADSN,11810
TF_T_LEADSP,11810
TF_T_ZCU,11810
TS_T_LEADSN,11810
TS_T_LEADSP,11810
UKPS,11810
XCS_TG,11809
CCDA,11777
CCDB,11777
CCIA,11777
CCIB,11777
CCJA,11777
CCJB,11777
CCKA,11777
CCKB,11777
CCSA,11777
CCSI,11777
CCSN,11777
CCSR,11777
CCST,11777
CCSZ,11777
CCUA,11777
CCUB,11777
CS_CIRCLEN,11777
CS_CIRCLEP,11777
CS_DI,11777
CS_DIP,11777
CS_DIRZIP,11777
CS_DR,11777
CS_DU,11777
CS_DURZIP,11777
CS_DZ,11777
CS_EXP,11777
CS_FLAG,11777
CS_FULLN,11777
CS_FULLP,11777
CS_IN,11777
CS_IP,11777
CS_IREF,11777
CS_NBLOCK,11777
CS_NOUT,11777
CS_PARTN,11777
CS_PARTP,11777
CS_PBLOCK,11777
CS_POUT,11777
CS_SUMDU,11777
CS_UOUT,11777
CS_UREF,11777
IPB_ECRH,11777
IPB_GAS,11777
IP_DI,11777
IP_EXP,11777
IP_REF,11777
I_CS,11777
LHCD,11777
NE_CTRL,11777
NE_CTRP,11777
NE_DU,11777
NE_ERR,11777
NE_EXP,11777
NE_REF,11777
NE_SUMDU,11777
RP,11777
R_DI,11777
R_EXP,11777
R_REF,11777
TF_DI,11777
TF_DU,11777
TF_DURZIP,11777
TF_EXP,11777
TF_FLAG,11777
TF_FULLP,11777
TF_IN,11777
TF_IP,11777
TF_IREF,11777
TF_PBLOCK,11777
TF_POUT,11777
TF_SUMDU,11777
TF_UOUT,11777
TF_UREF,11777
ZP,11777
Z_DI,11777
Z_EXP,11777
Z_REF,11777
CSCIRCLEN,11673
CSCIRCLEP,11673
CSFULLN,11673
CSFULLP,11673
CSNBLOCK,11673
CSNUK,11673
CSPARTN,11673
CSPARTP,11673
CSPBLOCK,11673
CSPUK,11673
TFFULLP,11672
TFPBLOCK,11672
TFPUK,11672
TS_EN,11356
ICS,11234
ICS_H,11199
ITF_H,11199
VS_BLOCK,9188
VS_DI,9188
VS_DU,9188
VS_EXP,9188
VS_IREF,9188
VS_SUMDU,9188
VS_UK,9188
VS_UOUT,9188
VS_UREF,9188
EUV_LONG,8881
CCS_QA,8662
CCS_Z,8662
PIV,7455
V,7410
EUVL_TIME,7169
EUVL_TRIGGER,7169
VUV_TIME,7166
VUV_TRIGGER,7166
AXUVPTOTAL,6598
DIAFLUX,5790
WTOT,5784
IPB_NBI,5682
VS_ICS,5682
VS_IEXP,5682
VS_IP,5682
Z_DI_VS,5682
Z_DU_VS,5682
Z_EXP_VS,5682
Z_REF_VS,5682
CS_ACF,5674
CS_DCF,5674
TF_ACF,5672
TF_DCF,5672
TF_DCRC_,5627
FOCS_TEST,5580
EUV_SHORT,5104
TF_PROTECT,5064
NBI_LAUNCH,5060
FEC,4979
FIP,4979
EUVS_TIME,4757
EUVS_TRIGGER,4757
CS_HEAT,4749
MAG_HART,4749
VLOOP_H,4483
EC,4090
TF_DCT_POUT,3869
TF_SET_ANG,3869
R_AI,3854
Z_AI,3854
ECRH_CCS_TIG,3851
ECRH_IPBUILD,3851
MSRP,3482
ZHUBO,3341
ICRF_TW_V,3173
INTENSITY,2830
TIERR,2830
ZV_DU,2648
ZV_EXP,2648
ZV_REF,2648
ZV_DI,2647
EFIT_BETAP,2298
EFIT_DELTAL,2298
EFIT_DELTAU,2298
EFIT_KAPPA,2298
EFIT_Q,2298
EFIT_RGEO,2298
EFIT_RMAG,2298
EFIT_RMAX,2298
EFIT_RMIN,2298
EFIT_WDIA,2298
EFIT_A,2239
FS_IGCCS,2169
FS_IGCTF,2169
FS_IGC_PROT,2169
FS_ITF_PROT,2169
EFIT_ZGEO,1968
EFIT_ZMAG,1968
NB,818
UPS,444
SUMDUPS,407
SUMDUPW,370
UPW,370
RMAX_AI,279
RMIN_AI,279
XP_DOWN_AI,279
XP_UP_AI,279
I_PS,226
BLOCKPS,222
CCG,222
DIPS,222
DUPS,222
YPS,222
CCDS,201
CCJS,201
CCKS,201
IPW,200
BLOCKPW,185
DIPW,185
DUPW,185
I_PW,185
YPW,185
MGEV,74
PV,74
SUMDUPH,74
SUMDUPV,74
VPW,45
BDO,37
BI,37
BLOCKECRHA,37
BLOCKECRHB,37
BLOCKGAS,37
BLOCKHE,37
BLOCKICRF,37
BLOCKL,37
BLOCKTS,37
BO,37
BU,37
BUO,37
CCDW,37
CCJW,37
CCKW,37
CCUE,37
CCUF,37
CCUG,37
CCUN,37
DIGAS,37
DITS,37
DPH,37
DPV,37
DUECRHA,37
DUECRHB,37
DUGAS,37
DUPH,37
DUPV,37
DUTS,37
ECRHCVA,37
ECRHCVB,37
FDI,37
FDO,37
FUI,37
FUO,37
IPBICRF,37
IPBITFBE,37
IPBROKEN,37
IPBUILD,37
IPS_,37
ITFBROKEN,37
ITFBUILD,37
ITS,37
ITSREF,37
NE,37
NEA,37
NEB,37
NEREF,37
PH,37
PHREF,37
PVPS,37
PVREF,37
RL,37
SUMDUECRHA,37
SUMDUECRHB,37
SUMDUGAS,37
SUMDUIP,37
SUMDUPHS,37
SUMDUPHW,37
SUMDUPVS,37
SUMDUPVW,37
SUMDUTS,37
SUMDUTSI,37
UECRHAOUT,37
UECRHAREF,37
UECRHBOUT,37
UECRHBREF,37
UTSOUT,37
UTSREF,37
VIP,37
WNE,37
YECRHA,37
YECRHB,37
YNE,37
YTS,37
BD,36
VA_TF,12
V_TF,9
UK_PS,5
UK_PW,5
UK_TF,4
U_PS,4
IP_CAL,2
MG_DISEXC,1
ASD,1
TEST_,1
CS_DISC,1
