name,shot_range,shots,channels,errors
DataDiagnosticPlatform_[1_100],1-100,100,220108,7563
DataDiagnosticPlatform_[101_200],101-200,100,201598,9897
DataDiagnosticPlatform_[201_300],201-300,100,246705,10469
DataDiagnosticPlatform_[301_400],301-400,100,247200,7411
DataDiagnosticPlatform_[401_500],401-500,100,247200,7874
DataDiagnosticPlatform_[501_600],501-600,100,249490,7297
DataDiagnosticPlatform_[601_700],601-700,100,259073,6123
DataDiagnosticPlatform_[701_800],701-800,100,260126,6391
DataDiagnosticPlatform_[801_900],801-900,100,260200,9861
DataDiagnosticPlatform_[901_1000],901-1000,100,260204,10633
DataDiagnosticPlatform_[1001_1100],1001-1100,100,260300,20117
DataDiagnosticPlatform_[1101_1200],1101-1200,100,260303,17476
DataDiagnosticPlatform_[1201_1300],1201-1300,100,260400,18268
DataDiagnosticPlatform_[1301_1400],1301-1400,100,260400,16386
DataDiagnosticPlatform_[1401_1500],1401-1500,100,260400,18283
DataDiagnosticPlatform_[1501_1600],1501-1600,100,260400,18174
DataDiagnosticPlatform_[1601_1700],1601-1700,100,260400,17945
DataDiagnosticPlatform_[1701_1800],1701-1800,100,260400,16989
DataDiagnosticPlatform_[1801_1900],1801-1900,100,260400,16200
DataDiagnosticPlatform_[1901_2000],1901-2000,100,260400,15736
DataDiagnosticPlatform_[2001_2100],2001-2100,100,260400,7509
DataDiagnosticPlatform_[2101_2200],2101-2200,100,260400,8283
DataDiagnosticPlatform_[2201_2300],2201-2300,100,260400,8300
DataDiagnosticPlatform_[2301_2400],2301-2400,100,260400,8087
DataDiagnosticPlatform_[2401_2500],2401-2500,100,260400,7610
DataDiagnosticPlatform_[2501_2600],2501-2600,100,260400,7451
DataDiagnosticPlatform_[2601_2700],2601-2700,100,260868,7973
DataDiagnosticPlatform_[2701_2800],2701-2800,100,261604,7734
DataDiagnosticPlatform_[2801_2900],2801-2900,100,261700,17415
DataDiagnosticPlatform_[2901_3000],2901-3000,100,262078,8470
DataDiagnosticPlatform_[3001_3100],3001-3100,100,263604,8001
DataDiagnosticPlatform_[3101_3200],3101-3200,100,263642,8201
DataDiagnosticPlatform_[3201_3300],3201-3300,100,263800,8365
DataDiagnosticPlatform_[3301_3400],3301-3400,100,263800,8254
DataDiagnosticPlatform_[3401_3500],3401-3500,100,263800,8384
DataDiagnosticPlatform_[3501_3600],3501-3600,100,263732,7249
DataDiagnosticPlatform_[3601_3700],3601-3700,100,260400,8499
DataDiagnosticPlatform_[3701_3800],3701-3800,100,260400,7334
DataDiagnosticPlatform_[3801_3900],3801-3900,100,260431,8166
DataDiagnosticPlatform_[3901_4000],3901-4000,100,263500,8087
DataDiagnosticPlatform_[4001_4100],4001-4100,100,263500,8544
DataDiagnosticPlatform_[4101_4200],4101-4200,100,264040,18131
DataDiagnosticPlatform_[4201_4300],4201-4300,100,264100,8516
DataDiagnosticPlatform_[4301_4400],4301-4400,100,264123,8447
DataDiagnosticPlatform_[4401_4500],4401-4500,100,264200,8684
DataDiagnosticPlatform_[4501_4600],4501-4600,100,264920,18398
DataDiagnosticPlatform_[4601_4700],4601-4700,100,265136,7970
DataDiagnosticPlatform_[4701_4800],4701-4800,100,265400,8320
DataDiagnosticPlatform_[4801_4900],4801-4900,100,265400,8290
DataDiagnosticPlatform_[4901_5000],4901-5000,100,266537,8308
DataDiagnosticPlatform_[5001_5100],5001-5100,100,267000,8482
DataDiagnosticPlatform_[5101_5200],5101-5200,100,267000,8294
DataDiagnosticPlatform_[5201_5300],5201-5300,100,267062,8197
DataDiagnosticPlatform_[5301_5400],5301-5400,100,267100,7791
DataDiagnosticPlatform_[5401_5500],5401-5500,100,267100,8726
DataDiagnosticPlatform_[5501_5600],5501-5600,100,267100,7449
DataDiagnosticPlatform_[5601_5700],5601-5700,100,267100,8752
DataDiagnosticPlatform_[5701_5800],5701-5800,100,267130,8599
DataDiagnosticPlatform_[5801_5900],5801-5900,100,267100,8539
DataDiagnosticPlatform_[5901_6000],5901-6000,100,267100,8812
DataDiagnosticPlatform_[6001_6100],6001-6100,100,267100,18770
DataDiagnosticPlatform_[6101_6200],6101-6200,100,279459,15765
DataDiagnosticPlatform_[6201_6300],6201-6300,100,294622,15771
DataDiagnosticPlatform_[6301_6400],6301-6400,100,295100,16943
DataDiagnosticPlatform_[6401_6500],6401-6500,100,295100,17808
DataDiagnosticPlatform_[6501_6600],6501-6600,100,295100,18185
DataDiagnosticPlatform_[6601_6700],6601-6700,100,295100,18349
DataDiagnosticPlatform_[6701_6800],6701-6800,100,296317,17749
DataDiagnosticPlatform_[6801_6900],6801-6900,100,299960,17574
DataDiagnosticPlatform_[6901_7000],6901-7000,100,300800,13073
DataDiagnosticPlatform_[7001_7100],7001-7100,100,301074,17578
DataDiagnosticPlatform_[7101_7200],7101-7200,100,301200,18123
DataDiagnosticPlatform_[7201_7300],7201-7300,100,301200,18114
DataDiagnosticPlatform_[7301_7400],7301-7400,100,301435,17617
DataDiagnosticPlatform_[7401_7500],7401-7500,100,301700,18280
DataDiagnosticPlatform_[7501_7600],7501-7600,100,301700,18313
DataDiagnosticPlatform_[7601_7700],7601-7700,100,301700,16612
DataDiagnosticPlatform_[7701_7800],7701-7800,100,301700,18094
DataDiagnosticPlatform_[7801_7900],7801-7900,100,302244,18352
DataDiagnosticPlatform_[7901_8000],7901-8000,100,304354,16818
DataDiagnosticPlatform_[8001_8100],8001-8100,100,315972,18081
DataDiagnosticPlatform_[8101_8200],8101-8200,100,314892,17592
DataDiagnosticPlatform_[8201_8300],8201-8300,100,317000,18015
DataDiagnosticPlatform_[8301_8400],8301-8400,100,318682,17530
DataDiagnosticPlatform_[8401_8500],8401-8500,100,320309,18476
DataDiagnosticPlatform_[8501_8600],8501-8600,100,320432,17863
DataDiagnosticPlatform_[8601_8700],8601-8700,100,320775,18471
DataDiagnosticPlatform_[8701_8800],8701-8800,100,320900,18216
DataDiagnosticPlatform_[8801_8900],8801-8900,100,320900,17810
DataDiagnosticPlatform_[8901_9000],8901-9000,100,321300,16260
DataDiagnosticPlatform_[9001_9100],9001-9100,100,321794,17064
DataDiagnosticPlatform_[9101_9200],9101-9200,100,322355,16997
DataDiagnosticPlatform_[9201_9300],9201-9300,100,323400,18099
DataDiagnosticPlatform_[9301_9400],9301-9400,100,323400,18045
DataDiagnosticPlatform_[9401_9500],9401-9500,100,324896,18174
